iter	RMSE	Quantile:alpha=0.4
380	1806.370715	488.8553618
381	1805.94175	488.7666348
382	1805.697971	488.6800923
383	1805.536323	488.5854049
384	1804.94914	488.4312814
385	1804.40796	488.3170139
386	1804.354189	488.272607
387	1803.886844	488.1931765
388	1803.855395	488.1761707
389	1803.600694	488.0808547
390	1803.382391	488.0162095
391	1803.313123	487.9804032
392	1802.856543	487.9090856
393	1802.707204	487.8260389
394	1802.578022	487.7556878
395	1802.295379	487.6948437
396	1802.296425	487.6700453
397	1801.553215	487.5213317
398	1800.882067	487.4159768
399	1800.719325	487.3716533
400	1800.722154	487.3440473
401	1800.202385	487.2906868
402	1800.030755	487.2320458
403	1799.872187	487.1687278
404	1799.853006	487.1436509
405	1799.596648	487.0793373
406	1799.586815	487.0658366
407	1799.358357	487.0001283
408	1799.271848	486.9538308
409	1798.878013	486.8347901
410	1798.771324	486.772606
411	1798.598251	486.669404
412	1797.781351	486.4692943
413	1797.733127	486.4521029
414	1797.485061	486.3629358
415	1797.268381	486.2884446
416	1797.143005	486.2522139
417	1796.90254	486.1872724
418	1796.78945	486.1292641
419	1796.644057	486.0547176
420	1796.367556	485.9834845
421	1796.357296	485.9347646
422	1796.096243	485.8625791
423	1795.834276	485.7830547
424	1795.669861	485.7276415
425	1795.307735	485.6273328
426	1795.284381	485.5867134
427	1794.767483	485.4686871
428	1794.52368	485.3989892
429	1793.919741	485.2832939
430	1793.615646	485.2387239
431	1793.498243	485.2053292
432	1793.445036	485.1889504
433	1792.701111	485.0438159
434	1792.431987	484.9927069
435	1792.281746	484.9335685
436	1791.703302	484.8261133
437	1791.270594	484.7906721
438	1791.184822	484.770493
439	1791.129472	484.7552769
440	1790.76104	484.7083988
441	1790.555785	484.6249913
442	1790.387079	484.5569543
443	1790.270889	484.5322762
444	1789.899081	484.4597696
445	1789.598629	484.3730382
446	1789.396354	484.3105145
447	1789.313342	484.282147
448	1789.000387	484.2157655
449	1788.990622	484.142256
